2025-11-29 08:36:06 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:36:06 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:36:06 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:36:06 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:36:13 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:36:13 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:36:13 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:36:13 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:36:26 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:36:26 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:36:26 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:36:26 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:39:35 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:39:35 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:39:35 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:39:35 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:40:01 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:40:01 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:40:01 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:40:01 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:40:30 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:40:31 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:40:31 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:40:31 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:40:59 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:41:00 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:41:00 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:41:00 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:41:18 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:41:19 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:41:19 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:41:19 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:41:32 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:41:32 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:41:32 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:41:32 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
2025-11-29 08:43:44 | INFO     | app.main:lifespan:48 - 系统关闭中...
2025-11-29 08:43:45 | INFO     | app.main:lifespan:30 - 系统启动中...
2025-11-29 08:43:45 | INFO     | app.main:lifespan:34 - 数据库连接成功
2025-11-29 08:43:45 | INFO     | app.main:lifespan:43 - Redis 缓存系统已挂载
